,High,Low,Medium
mean_amount,-0.19251982730311276,0.4836767271032927,-0.2911568998001799
median_amount,-0.33664112701244636,-0.1820691347650987,0.5187102617775454
std_amount,0.46848017916506085,-0.3721934426429715,-0.09628673652208922
avg_balance,0.2114789255594304,0.5564668900361449,-0.7679458155955747
pct_weekend,0.13633137292863887,-0.3338014789709276,0.19747010604228862
avg_sr_ratio,0.734643493719379,-1.0382668316945418,0.3036233379751612
pct_out,-0.2701541560141978,0.2894314981275499,-0.01927734211335247
avg_hour,-0.3653910461909285,-0.31662074138785334,0.6820117875787812
std_hour,0.2909223784885621,-0.26840152941608114,-0.02252084907248004
pct_airtime,-0.24010968676321717,-0.07115681746979108,0.31126650423300734
pct_depot,0.049434155959374414,-0.05437503853738924,0.004940882578014819
pct_paiement,0.0800653004316578,0.08756597843848643,-0.1676312788701443
pct_retrait,0.20261941824588112,0.09151024811052234,-0.29412966635640364
pct_transaction,-0.3213158660654969,0.3826555056665634,-0.06133963960106591
pct_transfert,0.4353316418946458,-0.6049443321655984,0.16961269027095266
age_ordinal,-0.1345013184597959,0.3983901389180858,-0.26388882045828904
education_ordinal,0.4471479031608777,0.6375267608572968,-1.0846746640181757
income_ordinal,0.2941005490723713,-0.23015646432733383,-0.0639440847450375
gender_binary,-0.5305208540842954,-0.2596904322234167,0.7902112863077113
smartphone_binary,-0.4442214601009647,0.23028630811497175,0.2139351519859922
household_size,0.7081587680704796,-0.19171932336781364,-0.5164394447026655
prof_Retired,-0.2611124222491843,0.20017092539908965,0.060941496850094326
prof_Self-Employed,-0.17636277267487074,-0.23081745465439552,0.40718022732926645
prof_Student,0.4500775733696983,-0.30279881530829894,-0.14727875806139895
prof_Unemployed,0.5324932023181327,-0.2183322749837078,-0.3141609273344246
geo_Suburban,-0.4180817566257763,-0.22411017924831017,0.6421919358740863
geo_Urban,0.5140329890787202,-0.009327454938336319,-0.5047055341403832
use_Business,-0.21747045447820046,0.3825682123606806,-0.16509775788248016
use_Personal,0.08185303115826315,0.043088581131035905,-0.12494161228929908
