UserId,txn_count,mean_amount,median_amount,std_amount,total_in,total_out,avg_balance,pct_weekend,avg_sr_ratio,pct_airtime,pct_depot,pct_paiement,pct_retrait,pct_transaction,pct_transfert,pct_out,avg_hour,std_hour,activity_class
anon_user0001,54,108641.57407407407,53992.0,120208.07303087549,3825111.0,2041534.0,260804.14814814815,0.3148148148148148,1.3675453035510656,0.0,0.0,0.25925925925925924,0.0,0.3333333333333333,0.4074074074074074,0.5925925925925926,11.055555555555555,6.614497133346119,Low
anon_user0002,56,147522.625,122466.5,125679.55921911632,4118942.0,4142325.0,252197.0357142857,0.17857142857142858,1.365709219447195,0.0,0.0,0.39285714285714285,0.0,0.23214285714285715,0.375,0.625,10.285714285714286,7.295613341315042,Medium
anon_user0003,65,109021.95384615385,76436.0,111538.14003786872,3258996.0,3827431.0,236012.53846153847,0.38461538461538464,2.7219982782426224,0.0,0.0,0.35384615384615387,0.0,0.36923076923076925,0.27692307692307694,0.7230769230769231,11.830769230769231,7.28347708594861,Medium
anon_user0004,54,96911.22222222222,61464.5,104776.52152470803,2655170.0,2578036.0,251558.9814814815,0.2222222222222222,2.5781976511143174,0.0,0.0,0.3148148148148148,0.0,0.3888888888888889,0.2962962962962963,0.7037037037037037,11.425925925925926,7.048623181099019,Low
anon_user0005,53,98788.43396226416,67199.0,99626.84544521998,2109117.0,3126670.0,254809.09433962265,0.2830188679245283,1.6903720601140135,0.0,0.0,0.33962264150943394,0.0,0.32075471698113206,0.33962264150943394,0.660377358490566,12.11320754716981,6.617751120917398,Low
anon_user0006,57,128439.43859649122,112878.0,110338.88098992019,3022936.0,4298112.0,262759.4736842105,0.24561403508771928,1.8359846165186722,0.0,0.0,0.40350877192982454,0.0,0.2807017543859649,0.3157894736842105,0.6842105263157895,12.31578947368421,5.889330227310725,Medium
anon_user0007,52,120034.38461538461,86904.5,120604.7734079806,4374511.0,1867277.0,235980.88461538462,0.2692307692307692,1.1891448637188111,0.0,0.0,0.21153846153846154,0.0,0.3269230769230769,0.46153846153846156,0.5384615384615384,10.73076923076923,6.3187097982364095,Low
anon_user0008,50,115334.38,81487.5,113574.04654572725,2763363.0,3003356.0,253927.24,0.34,3.7837838272838273,0.0,0.0,0.42,0.0,0.32,0.26,0.74,11.24,6.601051245901701,Low
anon_user0009,56,108106.53571428571,77955.5,108999.09712035806,2289837.0,3764129.0,224779.5,0.23214285714285715,3.6400065708101423,0.0,0.0,0.42857142857142855,0.0,0.35714285714285715,0.21428571428571427,0.7857142857142857,10.803571428571429,7.699869285448098,Medium
anon_user0010,50,114637.78,77380.5,116776.54609417639,2747172.0,2984717.0,260493.24,0.22,2.3706009741892093,0.0,0.0,0.28,0.0,0.38,0.34,0.66,12.32,6.38697654510764,Low
anon_user011,5,6765.0,6500.0,3501.0534129030366,25325.0,8500.0,5724.3099999999995,0.0,0.6333333333333333,0.0,0.6,0.0,0.4,0.0,0.0,0.4,13.6,7.987490219086344,Low
anon_user012,108,1535.9259259259259,102.0,3013.12967267728,157900.0,7980.0,18964.964814814815,0.3888888888888889,2.3390644670622964,0.7222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.7222222222222222,15.472222222222221,4.880742883039699,Medium
anon_user013,171,14746.923976608186,5000.0,38443.67906875258,955924.0,1565800.0,16545.7018128655,0.2807017543859649,3.7867501223181628,0.15204678362573099,0.2573099415204678,0.005847953216374269,0.5847953216374269,0.0,0.0,0.7426900584795322,14.730994152046783,4.31933119209727,Medium
anon_user014,6,3983.3333333333335,3000.0,2980.2125203862,0.0,23900.0,13006.846666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.666666666666668,4.88535225614967,Low
anon_user015,10,15290.0,9750.0,13447.05254776013,53400.0,99500.0,5863.85,0.3,1.125,0.0,0.4,0.0,0.6,0.0,0.0,0.6,15.0,5.055250296034367,Low
anon_user016,174,6525.609195402299,850.0,15058.098593673552,609750.0,525706.0,41570.65417721519,0.26436781609195403,7.028549514285342,0.5574712643678161,0.1206896551724138,0.0,0.3218390804597701,0.0,0.0,0.8793103448275862,13.833333333333334,4.7065117027877275,Medium
anon_user017,22,4395.454545454545,2100.0,5707.657952904966,30100.0,66600.0,2695.1163636363635,0.4090909090909091,1.1932539682539682,0.2727272727272727,0.4090909090909091,0.0,0.3181818181818182,0.0,0.0,0.5909090909090909,13.590909090909092,4.147966695337331,Low
