UserId,Date,Time,Direction,Contact,Phone,Content,Type
anon_user0001,2025-12-27,17:42:15,Recieved,MobileMoney,MobileMoney,You have received 169306 XAF of ETS-[CONTACT_3B7B] ([PHONE_7224]) on your Mobile Money 2025-12-27 17:42:15 account. Your new balance is 326901 XAF. Transaction ID: [PHONE_6052].,SMS
anon_user0001,2025-12-27,19:27:44,Recieved,MobileMoney,MobileMoney,A transaction of 12132 XAF by [CONTACT_4B93] ([PHONE_9741]) on your mobile money account successfully completed at 2025-12-27 19:27:44. Your new balance:291856 XAF. Financial Transaction Id: [PHONE_4770]. External Transaction Id: 55973561864025374343.,SMS
anon_user0001,2025-12-28,03:24:44,Recieved,MobileMoney,MobileMoney,You have received 348678 XAF of ETS-[CONTACT_3B7B] ([PHONE_6187]) on your Mobile Money 2025-12-28 03:24:44 account. Your new balance is 467750 XAF. Transaction ID: [PHONE_6488].,SMS
anon_user0001,2025-12-28,09:59:52,Recieved,MobileMoney,MobileMoney,A transaction of 1000 XAF by MTNC BUNDLES_FORFAITS (MTN_Bundles) successfully completed at 2025-12-28 09:59:52. Your new balance:259573 XAF. Financial Transaction Id: [PHONE_9571].,SMS
anon_user0001,2025-12-30,21:16:25,Recieved,MobileMoney,MobileMoney,You have received 31951 XAF of ETS-[CONTACT_3B7B] ([PHONE_3918]) on your Mobile Money 2025-12-30 21:16:25 account. Your new balance is 349798 XAF. Transaction ID: [PHONE_7028].,SMS
anon_user0001,2025-12-31,02:34:12,Recieved,MobileMoney,MobileMoney,A transaction of 500 XAF by MTNC BUNDLES_FORFAITS (MTN_Bundles) successfully completed at 2025-12-31 02:34:12. Your new balance:353778 XAF. Financial Transaction Id: [PHONE_4879].,SMS
anon_user0001,2025-12-31,21:58:42,Recieved,MobileMoney,MobileMoney,You have received an advance of 1219 XAF on 2025-12-31 21:58:42 from MMC. Transact ID:[PHONE_1895],SMS
anon_user0001,2026-01-01,15:08:07,Recieved,MobileMoney,MobileMoney,You have received 52346 XAF of ETS-[CONTACT_3B7B] ([PHONE_9845]) on your Mobile Money 2026-01-01 15:08:07 account. Your new balance is 124182 XAF. Transaction ID: [PHONE_3114].,SMS
anon_user0001,2026-01-03,04:37:23,Recieved,MobileMoney,MobileMoney,A transaction of 10000 XAF by MTNC BUNDLES_FORFAITS (MTN_Bundles) successfully completed at 2026-01-03 04:37:23. Your new balance:20385 XAF. Financial Transaction Id: [PHONE_8125].,SMS
anon_user0001,2026-01-03,22:56:29,Recieved,MobileMoney,MobileMoney,You have received 336897 XAF of ETS-[CONTACT_3B7B] ([PHONE_4023]) on your Mobile Money 2026-01-03 22:56:29 account. Your new balance is 423475 XAF. Transaction ID: [PHONE_7941].,SMS
anon_user0001,2026-01-06,08:50:08,Recieved,MobileMoney,MobileMoney,A transaction of 267572 XAF by [CONTACT_4B93] ([PHONE_9741]) on your mobile money account successfully completed at 2026-01-06 08:50:08. Your new balance:486250 XAF. Financial Transaction Id: [PHONE_8904]. External Transaction Id: 51131118083046056784.,SMS
anon_user0001,2026-01-06,18:52:37,Recieved,MobileMoney,MobileMoney,A transaction of 5000 XAF by MTNC BUNDLES_FORFAITS (MTN_Bundles) successfully completed at 2026-01-06 18:52:37. Your new balance:340509 XAF. Financial Transaction Id: [PHONE_8471].,SMS
anon_user0001,2026-01-07,15:05:09,Recieved,MobileMoney,MobileMoney,A transaction of 10000 XAF by MTNC BUNDLES_FORFAITS (MTN_Bundles) successfully completed at 2026-01-07 15:05:09. Your new balance:25603 XAF. Financial Transaction Id: [PHONE_3347].,SMS
anon_user0001,2026-01-09,21:41:06,Recieved,MobileMoney,MobileMoney,A transaction of 5000 XAF by MTNC BUNDLES_FORFAITS (MTN_Bundles) successfully completed at 2026-01-09 21:41:06. Your new balance:450243 XAF. Financial Transaction Id: [PHONE_5764].,SMS
anon_user0001,2026-01-11,08:47:15,Recieved,MobileMoney,MobileMoney,You have received an advance of 1372 XAF on 2026-01-11 08:47:15 from MMC. Transact ID:[PHONE_7389],SMS
anon_user0001,2026-01-14,01:55:26,Recieved,MobileMoney,MobileMoney,You have received 329289 XAF of ETS-[CONTACT_3B7B] ([PHONE_3010]) on your Mobile Money 2026-01-14 01:55:26 account. Your new balance is 264321 XAF. Transaction ID: [PHONE_5382].,SMS
anon_user0001,2026-01-15,01:04:52,Recieved,MobileMoney,MobileMoney,You have received an advance of 882 XAF on 2026-01-15 01:04:52 from MMC. Transact ID:[PHONE_2587],SMS
anon_user0001,2026-01-15,14:32:50,Recieved,MobileMoney,MobileMoney,You have received 224388 XAF of ETS-[CONTACT_3B7B] ([PHONE_7680]) on your Mobile Money 2026-01-15 14:32:50 account. Your new balance is 149164 XAF. Transaction ID: [PHONE_3542].,SMS
anon_user0001,2026-01-16,02:30:43,Recieved,MobileMoney,MobileMoney,A transaction of 270050 XAF by [CONTACT_4B93] ([PHONE_9741]) on your mobile money account successfully completed at 2026-01-16 02:30:43. Your new balance:416152 XAF. Financial Transaction Id: [PHONE_2699]. External Transaction Id: 03723315217921283691.,SMS
anon_user0001,2026-01-16,04:03:17,Recieved,MobileMoney,MobileMoney,You have received 22582 XAF of ETS-[CONTACT_3B7B] ([PHONE_0386]) on your Mobile Money 2026-01-16 04:03:17 account. Your new balance is 273801 XAF. Transaction ID: [PHONE_6951].,SMS
anon_user0001,2026-01-16,21:24:23,Recieved,MobileMoney,MobileMoney,You have received 21193 XAF of ETS-[CONTACT_3B7B] ([PHONE_4431]) on your Mobile Money 2026-01-16 21:24:23 account. Your new balance is 483995 XAF. Transaction ID: [PHONE_1076].,SMS
anon_user0001,2026-01-17,05:09:51,Recieved,MobileMoney,MobileMoney,A transaction of 55638 XAF by [CONTACT_4B93] ([PHONE_9741]) on your mobile money account successfully completed at 2026-01-17 05:09:51. Your new balance:252731 XAF. Financial Transaction Id: [PHONE_5493]. External Transaction Id: 82619643335974701704.,SMS
anon_user0001,2026-01-18,11:21:16,Recieved,MobileMoney,MobileMoney,You have received 112319 XAF of ETS-[CONTACT_3B7B] ([PHONE_0922]) on your Mobile Money 2026-01-18 11:21:16 account. Your new balance is 117692 XAF. Transaction ID: [PHONE_6502].,SMS
